title,link,artist,year,classification,related_location,medium,dimensions,credit_line,copyright_status,cleaned_year,continent,country
Seated Male Figurine,https://marble.nd.edu/item/2004.014.020,Unrecorded Teotihuacano artist Formerly attributed to Unrecorded Teotihuacn artist,100 BCE-250 CE,Figurines,"North America, Mexico, Teotihuacán, México",Slipped ceramic,2 3/4 x 1 1/2 x 2 1/8 in. (6.99 x 3.81 x 5.4 cm),Anthony and Janet Unruh Fund,Public domain,-175,North America,Mexico
Body of Perfume Vase,https://marble.nd.edu/item/2008.022.a,Chelsea Porcelain Manufactory British active 1745 1784 John Donaldson British 1737 1801,ca. 1761,Decorative Arts,,Soft-paste porcelain,11 x 6 1/2 x 6 1/4 in. (27.94 x 16.51 x 15.88 cm),Virginia A. Marten Endowment for Decorative Arts,Public domain,1761,,
Saipan,https://marble.nd.edu/item/2005.011,W Eugene Smith American 1918 1978,1944,Photographs,"Oceania, Northern Mariana Islands, Saipan",Gelatin silver print,13 x 9 7/8 in. (33 x 25.1 cm),Milly Kaeser Fund in memory of Fritz Kaeser,Copyright,1944,Oceania,Northern Mariana Islands
Head of a Young Woman Looking Up,https://marble.nd.edu/item/2006.069.027,Annibale Carracci Italian 1560 1609,1575-1609,Drawings,,Black and white chalk on laid paper,10 3/4 x 7 7/8 in. (27.31 x 19.84 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1592,,
The Right to Feed Oneself [Derecho a Alimentarese],https://marble.nd.edu/item/2009.007.092,Elizabeth Catlett American 1915 2012,1954,Prints,,Linocut on paper,21 1/2 x 15 3/4 in. (54.61 x 40.01 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1954,,
"Interior of the Temple of Neptune, Plate XII from Different Views of Paestum",https://marble.nd.edu/item/2006.008.031,Giovanni Battista Piranesi Italian 1720 1778,1778,Prints,"Europe, Italy",Etching on paper,21 3/8 x 30 1/4 in. (54.29 x 76.68 cm),Gift of Harvey and Rica Simmons Spivack,Public domain,1778,Europe,Italy
The Head of a Young Woman in Profile Looking up to the Left,https://marble.nd.edu/item/2006.069.036,Federico Barocci Italian 1528 1612,1535-1612,Drawings,,"Black, red and white, with pink pastel on faded blue paper",11 1/4 x 9 1/8 in. (28.6 x 23.1 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1573,,
Judith and Holofernes,https://marble.nd.edu/item/2009.045.057,Henri Regnault French 1843 1871,late 1860s,Paintings,"Europe, France",Oil on panel,6 1/4 x 9 3/8 in. (15.88 x 23.81 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1867,Europe,France
The Letter,https://marble.nd.edu/item/2009.007.017,Leopoldo Mndez Mexican 1902 1968,1941,Prints,,Linocut on paper,5 3/4 x 4 7/8 in. (14.61 x 12.38 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1941,,
"Harvesting, Late Afternoon",https://marble.nd.edu/item/2009.045.076,LonAugustin Lhermitte French 1844 1925,ca. 1893-1903,Paintings,,Oil on canvas,26 3/4 x 21 1/2 in. (67.95 x 54.61 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1893,,
Study for a Figure of Victory,https://marble.nd.edu/item/2009.045.129,Jules Dalou French 1838 1902,1900-1902,Sculpture,,Bronze,9 3/4 x 9 x 7 in. (24.77 x 22.86 x 17.78 cm),The Muriel S. and Noah L. Butkin Collection,Public domain,1901,,
Una Panadería,https://marble.nd.edu/item/2010.011.010.009,Emilio Snchez Cuban 1921 1999,ca. 1973,Prints,,Black and white lithograph on paper,22 1/4 x 30 in. (56.52 x 76.2 cm),Gift of the Emilio Sanchez Foundation,Copyright,1973,,
Trinidad de Noche,https://marble.nd.edu/item/2010.011.016.006,Emilio Snchez Cuban 1921 1999,1957-1962,Prints,,Woodcut on paper,22 1/2 x 30 1/4 in. (57.15 x 76.84 cm),Gift of the Emilio Sanchez Foundation,Copyright,1959,,
Divination Basket with Sixty-One Ritual Objects,https://marble.nd.edu/item/2011.036.009,Unrecorded Chokwe artist,mid-20th century,Basketry,Africa,"Plant fiber, wood, animal fur, brass, bird horn, calabash gourd, red clay, corn cob, seeds, seed pod, chicken feet, ceramic, antelope hooves, unidentified ritual powder mixture",5 x 11 1/4 x 12 5/8 in. (12.7 x 28.58 x 32.07 cm),Gift of Owen D. Mort Jr,Public domain,1950,Africa,
"Boy with Collard Greens, near Mission, Texas",https://marble.nd.edu/item/2011.045.029,Alan Pogue American 1946,1984,Photographs,"North America, United States, Texas",Gelatin silver print,19 3/4 x 16 in. (50.2 x 40.6 cm),Gift of Gilberto Cárdenas,Copyright,1984,North America,United States
Emilio Sanchez,https://marble.nd.edu/item/2010.011.017.005,Emilio Snchez Cuban 1921 1999,1965,Prints,,Poster on paper,26 x 18 in. (66.04 x 45.72 cm),Gift of the Emilio Sanchez Foundation,Copyright,1965,,
Calle del Sol,https://marble.nd.edu/item/2010.011.010.014,Emilio Snchez Cuban 1921 1999,1968,Prints,,Black and white lithograph on paper,13 3/4 x 20 3/4 in. (34.93 x 52.71 cm),Gift of the Emilio Sanchez Foundation,Copyright,1968,,
Mansion in Vermont,https://marble.nd.edu/item/2010.011.012.014,Emilio Snchez Cuban 1921 1999,1956,Prints,,Color lithograph on paper,22 x 14 3/4 in. (55.88 x 37.47 cm),Gift of the Emilio Sanchez Foundation,Copyright,1956,,
Derry,https://marble.nd.edu/item/2014.027,Robert Frank American 1924 2019,ca. 1958,Photographs,"Manhattan, North America, United States, New York, New York",Gelatin silver print,14 x 11 in. (35.7 x 28 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1958,North America,United States
"A Scene from the ""Commedia dell'Arte""",https://marble.nd.edu/item/2014.061.057,CharlesAntoine Coypel French 1694 1752,18th century,Drawings,Europe,"Red chalk on cream laid paper, laid down",9 5/8 x 7 1/8 in. (24.45 x 17.94 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1750,Europe,
"Study for the “Triumph of the French People”, Three Nude Men Supporting One",https://marble.nd.edu/item/2014.061.240,JacquesLouis David French 1748 1825,1794,Drawings,"Europe, France",Ink and graphite on paper,5 x 6 1/2 in. (12.7 x 16.51 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1794,Europe,France
Recto: Foot of a Man Resting on a Cylinder,https://marble.nd.edu/item/2014.061.343.a,JosephMarie Vien the Elder French 1716 1809,ca. 1750,Drawings,Europe,Red chalk on laid paper,21 1/4 x 19 in. (53.82 x 48.26 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1750,Europe,
Le Grand Prix,https://marble.nd.edu/item/2015.045.003,Jacques Henri Lartigue French 1894 1986,1913,Photographs,"Europe, France, Amiens, Hauts-de-France",Gelatin silver print,12 x 16 1/8 in. (30.5 x 40.8 cm),Mr. Jack B. Smith Jr. Fund,Copyright,1913,Europe,France
Sculptural Effects in Tin,https://marble.nd.edu/item/2015.043,Joost Schmidt German 1893 1948,ca. 1930,Photographs,"Europe, Germany",Gelatin silver print,2 7/8 x 3 7/8 in. (7.3 x 9.8 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,Europe,Germany
Man Wearing a Turban,https://marble.nd.edu/item/2015.035.001,Thomas Frye Irish 1710 1762,1760,Prints,"Europe, Ireland, Dublin",Mezzotint on laid paper,22 1/2 x 16 5/8 in. (57.15 x 42.23 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1760,Europe,Ireland
La Que Bebe No Vuelve,https://marble.nd.edu/item/2016.028.015,Ramiro Rodriguez American b 1965,2016,Prints,,Woodcut,33 x 26 1/2 in. (83.82 x 67.31 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2016,,
Toby Seated Effigy Mug with Maroon Coat and worn Black Face,https://marble.nd.edu/item/2017.025.077,Unknown European artist,,ceramics,Europe,ceramic,,Bequest of Owen D. Mort Jr,Public domain,,Europe,
Coffret with Hand-Colored Woodcut of the Crucifixion with Two Thieves,https://marble.nd.edu/item/2017.012,French Attributed to Master of the Trs Petites Heures of Anne de Bretagne French,ca. 1500-1510,Decorative Arts,"Europe, France","Wood with iron fittings, red canvas lining and horsehair cushion covered in red-dyed leather",5 5/8 x 7 1/2 x 11 7/8 in. (14.29 x 19.05 x 30.16 cm),William L. and Erma M. Travis Endowment for Decorative Arts,Public domain,1500,Europe,France
Cheese and Crackers,https://marble.nd.edu/item/2015.052,Paul Outerbridge Jr American 1896 1958,1922,Photographs,"North America, United States",Platinum print,14 1/8 x 11 1/8 in. (35.8 x 28.1 cm),"Edward M. Abrams, ND ’50 and Family Endowment for the Snite Museum",Copyright,1922,North America,United States
Sundial (07.04),https://marble.nd.edu/item/2018.053.001,Uta Barth American b 1958,2007,Photographs,,Chromogenic prints,30 x 56 in. (76.2 x 142.24 cm),Humana Foundation Endowment,Copyright,2007,,
New Mexican Aloe,https://marble.nd.edu/item/2019.016.084,Jim Dine American b 1935,2011,Prints,,,45 x 30 1/8 in. (114.3 x 76.52 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,2011,,
Vegetables [5],https://marble.nd.edu/item/2019.016.117.005,Jim Dine American b 1935,1969,Prints,,Lithographs and collaged images,17 7/8 x 16 1/4 in. (45.4 x 41.28 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1969,,
Big Red Wrench in a Landscape,https://marble.nd.edu/item/2019.016.122,Jim Dine American b 1935,1973,Prints,,Lithograph,30 1/8 x 22 3/4 in. (76.52 x 57.79 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1973,,
[ ] from Nine Hearts from Nikolaistrasse,https://marble.nd.edu/item/2019.016.154.001,Jim Dine American b 1935,2009,Prints,,Full color digital and copperplate drypoint,43 7/8 x 31 5/8 in. (111.44 x 80.33 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,2009,,
Little Wing,https://marble.nd.edu/item/2019.028.049,Dan Rizzie American b 1951,1988,Prints,,Lithograph,30 1/8 x 22 1/8 in. (76.52 x 56.2 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1988,,
2 Apples,https://marble.nd.edu/item/2019.028.023,Aaron Fink American,1989,Prints,,Color lithograph,35 7/8 x 49 5/8 in. (91.12 x 126.05 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1989,,
Tools in a Puzzled Vessel (Eight),https://marble.nd.edu/item/2019.016.242,Jim Dine American b 1935,2017,Prints,,"Woodcut, etching, lithograph mechanical abrasion and hand coloring on Arches vellum 300g",72 7/8 x 52 in. (185.1 x 132.08 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,2017,,
Untitled from Monumenti Italiani,https://marble.nd.edu/item/2019.028.052.005,Dominique Blain Canadian b 1957,1995,Prints,,Photolithograph,16 x 12 in. (40.64 x 30.48 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1995,,
Dorsett 2,https://marble.nd.edu/item/2019.028.076,Gary Komarin American b 1951,2001,Prints,,Monotype,29 7/8 x 22 in. (75.88 x 55.88 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2001,,
"Last Moments of John Brown, after Thomas Hovenden",https://marble.nd.edu/item/2021.009.018,George Gebbie Co Thomas Hovenden American 1840 1895,1889,Prints,"North America, United States",Photogravure on wove paper,17 x 11 5/8 in. (43.18 x 29.53 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Copyright,1889,North America,United States
Osaka: Smallest Sculpture,https://marble.nd.edu/item/2021.013.022,Kenneth Snelson American 1927 2016,1972,Sculpture,"New York City, North America, United States, New York, New York",Anodized aluminum and stainless steel cable,6 x 12 x 7 in. (15.24 x 30.48 x 17.78 cm),Gift of the Estate of Kenneth Snelson on behalf of Katherine and Andrea Snelson,Copyright,1972,North America,United States
Work Horse [Cheval de Labour],https://marble.nd.edu/item/2022.022.009,Pieter Dupont Dutch 1870 1911,1902,Prints,"Europe, France",Engraving on wove paper,5 1/4 x 8 in. (13.34 x 20.32 cm),Alexander Platt Collection of Prints and Drawings,Public domain,1902,Europe,France
"High Jump, Ballydavid, Dingle Peninsula, County Kerry",https://marble.nd.edu/item/2024.001.016,Father Francis Browne SJ Irish 1880 1960,15-Aug-32,Photographs,,Gelatin silver print,10 x 15 3/4 in. (25.4 x 39.9 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1932,,
"Children Playing, Galway Town",https://marble.nd.edu/item/2024.001.066,Father Francis Browne SJ Irish 1880 1960,25-Feb-39,Photographs,,Gelatin silver print,10 1/4 x 15 5/8 in. (26 x 39.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1939,,
Merchant's Wife [Kaufmannsfrau],https://marble.nd.edu/item/2024.035,Meissen Porcelain Manufactory German active 1710 present Johann Joachim Kndler German 1706 1775,1758 - 1765,Decorative Arts,"Europe, Germany",Hard-paste porcelain with enamel glaze and gilt,6 1/2 x 5 7/8 x 4 1/2 in. (16.5 x 15 x 11.5 cm),Virginia A. Marten Endowment for Decorative Arts,Copyright,1761,Europe,Germany
"Irish Dancing on Regimental Sports Day, Warley, Essex",https://marble.nd.edu/item/2024.001.058,Father Francis Browne SJ Irish 1880 1960,17-Mar-19,Photographs,,Gelatin silver print,9 5/8 x 15 5/8 in. (24.4 x 39.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,2019,,
Dancer on Stage,https://marble.nd.edu/item/2022.010,Edgar Degas French 1834 1917,1891 - 1892,Prints,"Europe, France","Etching, drypoint and aquatint on cream laid paper",10 3/8 x 7 1/2 in. (26.2 x 19 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1891,Europe,France
Reliquary Bust of Saint Maurice,https://marble.nd.edu/item/1962.030,Italian,ca. 1530,Sculpture,"Europe, Italy, Northern Italy",Gilt wood,20 1/2 x 16 3/4 x 9 1/2 in. (52.07 x 42.55 x 24.13 cm),Art Purchases Fund,Public domain,1530,Europe,Italy
Christ and the Adultress,https://marble.nd.edu/item/1961.065.001,Giampietro Silvio Italian 1495 1552 Formerly attributed to Rocco Marconi Italian active 1504 1529,early 16th century,Paintings,"Europe, Italy",Oil on canvas,40 3/4 x 50 1/2 x 2 1/4 in. (103.51 x 128.27 x 5.72 cm),Gift of Richard E. Berlin,Public domain,2018,Europe,Italy
Still Life on Table,https://marble.nd.edu/item/1962.028.006,Ben Nicholson English 1894 1982,1950,Paintings,,Oil and pencil on construction board,26 3/4 x 26 3/8 x 1 1/4 in. (67.95 x 66.99 x 3.18 cm),Gift of Julian J. and J. Jean Aberbach,Copyright,1950,,
Presentation Cup (George III),https://marble.nd.edu/item/1978.067.002,Paul Storr British 1771 1844,1809,Decorative Arts,,Silver,15 x 10 x 10 in. (38.1 x 25.4 x 25.4 cm),Gift of Mr. and Mrs. Noah L. Butkin,Public domain,1809,,
"Entrance of the Arsenal, Venice",https://marble.nd.edu/item/1978.081.178,Carlo Naya Italian 1816 1882,ca. 1870,Photographs,"Venice, Europe, Italy, Venezia, Veneto",Albumen print from wet collodion negative,9 1/2 x 7 1/2 in. (24.2 x 19 cm),Gift of Janos Scholz,Public domain,1870,Europe,Italy
"Grace Reformed Church, Lancaster, Ohio",https://marble.nd.edu/item/1980.123.001.S,Berenice Abbott American 1898 1991,1935,Photographs,"Lancaster, North America, United States, Fairfield, Ohio",Gelatin silver print,9 3/8 x 7 1/2 in. (23.66 x 18.89 cm),Gift of Mr. Arthur Turchin,Copyright,1935,North America,United States
"San Lorenzo in Miranda, Rome",https://marble.nd.edu/item/1987.015.024,Pierre Petit French 1832 1909,1854,Photographs,"Rome, Europe, Italy, Roma, Lazio",Carbon print from wet collodion negative,5 1/8 x 7 1/8 in. (13 x 18.1 cm),Janos Scholz Collection,Public domain,1854,Europe,Italy
Flight Into Egypt: A Night Piece,https://marble.nd.edu/item/1991.025.027,Rembrandt van Rijn Dutch 1606 1669,1651; Basan impression ca. 1810,Prints,"Europe, France",Etching and drypoint with burin on laid paper,5 x 4 1/4 in. (12.7 x 10.8 cm),Gift of Mr. and Mrs. Jack F. Feddersen,Public domain,1651,Europe,France
"Country Road with Figures and a Cart, Brittany",https://marble.nd.edu/item/1992.038.044,Jules Dupr French 1811 1889,1866,Drawings,,Charcoal with stumping and white heightening on yellow tan wove paper,8 3/4 x 14 1/2 in. (22.23 x 36.83 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1866,,
François-Paul Meurice,https://marble.nd.edu/item/1994.030.122,Nadar aka Gaspard Flix Tournachon French 1820 1910,ca. 1856,Photographs,,Salt print from glass negative,9 1/2 x 7 1/2 in. (24.1 x 19.2 cm),Janos Scholz Collection,Public domain,1856,,
Figure of Spring,https://marble.nd.edu/item/1993.010,Bow Porcelain Manufactory British active 18th century,ca. 1760,Decorative Arts,"Europe, United Kingdom, England",Soft-paste porcelain,5 3/4 x 3 1/4 x 2 3/8 in. (14.61 x 8.26 x 6.03 cm),William L. and Erma M. Travis Endowment for the Decorative Arts,Public domain,1760,Europe,United Kingdom
Artist’s Study of Monk,https://marble.nd.edu/item/1994.030.132,Jean Nicolas Truchelut French 1811 1890,ca. 1865,Photographs,,Albumen print from wet collodion negative,8 5/8 x 6 1/2 in. (22 x 16.6 cm),Janos Scholz Collection,Public domain,1865,,
Nancy Outside in July III,https://marble.nd.edu/item/2019.016.136,Jim Dine American b 1935,1978,Prints,,"Etching, soft ground etching, aquatint, dry point, and electric tools on white wove paper, BFK RIVES/France",41 1/2 x 30 in. (105.41 x 76.2 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1978,,
Pierrot the Thief (recto),https://marble.nd.edu/item/AA1975.091.a,Adrien Tournachon French 1825 1903 Nadar aka Gaspard Flix Tournachon French 1820 1910,1854,Photographs,,Coated salt print from wet collodion negative,11 1/2 x 8 1/8 in. (29.2 x 20.6 cm),Anonymous gift,Copyright,1854,,
"Couple in Racoon Coats, Harlem",https://marble.nd.edu/item/2017.041.002,James Van Der Zee American 1886 1983,1932; printed 1980s,Photographs,"Manhattan, North America, United States, New York, New York",Gelatin silver print,9 5/8 x 12 3/4 in. (24.4 x 32.3 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1932,North America,United States
"Tennis Forehand Drive, Jenny Tuckey",https://marble.nd.edu/item/2018.002.030,Harold Edgerton American 1903 1990,1939,Photographs,,Gelatin silver print,11 x 14 in. (28 x 35.5 cm),"Bequest of Ronald K. Gratz, ND ’68, ’72",Copyright,1939,,
Naples #620,https://marble.nd.edu/item/2023.001.022,Jed Fielding American b 1953,1995,Photographs,,Gelatin silver print,16 x 20 in. (40.6 x 50.8 cm),Gift of the Joe Baio Collection of Photography,Copyright,1995,,
Bowl of Boar's Head Tureen,https://marble.nd.edu/item/2006.053.a,Meissen Porcelain Manufactory German active 1710 present Johann Friedrich Eberlein German 1696 1749,ca. 1740,Decorative Arts,"Europe, Germany, Prussia",Hard-paste porcelain,4 7/8 x 12 3/8 x 8 7/8 in. (12.38 x 31.43 x 22.54 cm),Virginia A. Marten Endowment for Decorative Arts,Copyright,1740,Europe,Germany
